date,股票代码,open,close,high,low,volume
,,AMZN,AMZN,AMZN,AMZN,AMZN
2024-12-24,AMZN,226.94000244140625,229.0500030517578,229.13999938964844,226.1300048828125,15007500
2024-12-26,AMZN,228.5,227.0500030517578,228.5,226.6699981689453,16146700
2024-12-27,AMZN,225.60000610351562,223.75,226.02999877929688,220.89999389648438,27367100
2024-12-30,AMZN,220.05999755859375,221.3000030517578,223.0,218.42999267578125,28321200
2024-12-31,AMZN,222.97000122070312,219.38999938964844,223.22999572753906,218.94000244140625,24819700
2025-01-02,AMZN,222.02999877929688,220.22000122070312,225.14999389648438,218.19000244140625,33956600
2025-01-03,AMZN,222.50999450683594,224.19000244140625,225.36000061035156,221.6199951171875,27515600
2025-01-06,AMZN,226.77999877929688,227.61000061035156,228.83999633789062,224.83999633789062,31849800
2025-01-07,AMZN,227.89999389648438,222.11000061035156,228.3800048828125,221.4600067138672,28084200
2025-01-08,AMZN,223.19000244140625,222.1300048828125,223.52000427246094,220.1999969482422,25033300
2025-01-10,AMZN,221.4600067138672,218.94000244140625,221.7100067138672,216.5,36811500
2025-01-13,AMZN,218.05999755859375,218.4600067138672,219.39999389648438,216.47000122070312,27262700
2025-01-14,AMZN,220.44000244140625,217.75999450683594,221.82000732421875,216.1999969482422,24711700
2025-01-15,AMZN,222.8300018310547,223.35000610351562,223.57000732421875,220.75,31291300
2025-01-16,AMZN,224.4199981689453,220.66000366210938,224.64999389648438,220.30999755859375,24757300
2025-01-17,AMZN,225.83999633789062,225.94000244140625,226.50999450683594,223.0800018310547,42370100
2025-01-21,AMZN,228.89999389648438,230.7100067138672,231.77999877929688,226.94000244140625,39951500
2025-01-22,AMZN,232.02000427246094,235.00999450683594,235.44000244140625,231.19000244140625,41448200
2025-01-23,AMZN,234.10000610351562,235.4199981689453,235.52000427246094,231.50999450683594,26404400
2025-01-24,AMZN,234.5,234.85000610351562,236.39999389648438,232.92999267578125,25890700
2025-01-27,AMZN,226.2100067138672,235.4199981689453,235.61000061035156,225.86000061035156,49428300
2025-01-28,AMZN,234.2899932861328,238.14999389648438,241.77000427246094,233.97999572753906,41587200
2025-01-29,AMZN,239.02000427246094,237.07000732421875,240.38999938964844,236.14999389648438,26091700
2025-01-30,AMZN,237.13999938964844,234.63999938964844,237.9499969482422,232.22000122070312,32020700
